Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-1626,Legal advice sought for insider threat mitigation program,Y,ISM-1626,Legal advice is sought regarding the development and implementation of an insider threat mitigation program.
ISM-0120,Cyber personnel have adequate monitoring data/tools,Y,ISM-0120,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.
ISM-0123,Incidents reported to CISO promptly,Y,ISM-0123,"Cyber security incidents are reported to the chief information security officer, or one of their delegates, as soon as possible after they occur or are discovered."
ISM-0140,Incidents reported to ASD promptly,Y,ISM-0140,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.
ISM-1880,Customer-data incidents reported to customers/public,Y,ISM-1880,Cyber security incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.
ISM-1881,Non-customer-data incidents reported to customers/public,Y,ISM-1881,Cyber security incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.
ISM-1819,Incident response plan enacted after identification,Y,ISM-1819,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted."
ISM-0133,Data owners advised and access restricted after data spill,Y,ISM-0133,"When a data spill occurs, data owners are advised and access to the data is restricted."
ISM-0917,Malicious code handling and remediation steps,Y,ISM-0917,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus applications are used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt."
ISM-1969,Stored/communicated malicious code treated before use,Y,ISM-1969,"Malicious code, when stored or communicated, is treated beforehand to prevent accidental execution."
ISM-1970,Malicious code analysed in segregated environment,Y,ISM-1970,Malicious code processed for cyber security incident response or research purposes is done so in a dedicated analysis environment that is segregated from other systems.
ISM-0137,Legal advice before allowing intrusion activity to continue,Y,ISM-0137,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
ISM-1609,System owners consulted before allowing intrusion activity to continue,Y,ISM-1609,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.
ISM-1731,Out-of-Band Intrusion Remediation Planning,Y,ISM-1731,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.
ISM-1732,Coordinate all intrusion remediation during planned outage,Y,ISM-1732,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage."
ISM-1213,Post-remediation full network traffic capture & analysis,Y,ISM-1213,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether malicious actors have been successfully removed from the system."
ISM-0138,Investigators maintain evidence integrity,Y,ISM-0138,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies."
ISM-1631,Suppliers of systems and services identified,Y,ISM-1631,"Suppliers of operating systems, applications, IT equipment, OT equipment and services associated with systems are identified."
ISM-1452,Supplier supply chain risk assessment performed,Y,ISM-1452,"A supply chain risk assessment is performed for suppliers of operating systems, applications, IT equipment, OT equipment and services in order to assess the impact to a system’s security risk profile."
ISM-1567,High-risk suppliers not used,Y,ISM-1567,Suppliers identified as high risk by a cyber supply chain risk assessment are not used.
ISM-1568,Procure from security-focused suppliers,Y,ISM-1568,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to the security of their products and services."
ISM-1882,Procure from suppliers demonstrating transparency,Y,ISM-1882,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have demonstrated a commitment to transparency for their products and services."
ISM-1632,Procure from suppliers with strong systems security track record,Y,ISM-1632,"Operating systems, applications, IT equipment, OT equipment and services are procured from suppliers that have a strong track record of maintaining the security of their own systems."
ISM-1569,Create shared responsibility model with suppliers,Y,ISM-1569,"A shared responsibility model is created, documented and shared between suppliers and their customers in order to articulate the security responsibilities of each party."
ISM-1785,Supplier relationship management policy maintained,Y,ISM-1785,"A supplier relationship management policy is developed, implemented and maintained."
ISM-1786,Approved supplier list maintained,Y,ISM-1786,"An approved supplier list is developed, implemented and maintained."
ISM-1787,Source from approved suppliers,Y,ISM-1787,"Operating systems, applications, IT equipment, OT equipment and services are sourced from approved suppliers."
ISM-1788,Identify multiple suppliers for critical systems,Y,ISM-1788,"Multiple potential suppliers are identified for sourcing critical operating systems, applications, IT equipment, OT equipment and services."
ISM-1789,Keep spares of critical IT/OT equipment,Y,ISM-1789,Sufficient spares of critical IT equipment and OT equipment are sourced and kept in reserve.
ISM-1790,Supplies delivered maintaining integrity,Y,ISM-1790,"Operating systems, applications, IT equipment, OT equipment and services are delivered in a manner that maintains their integrity."
ISM-1791,Assess integrity during product acceptance,Y,ISM-1791,"The integrity of operating systems, applications, IT equipment, OT equipment and services are assessed as part of acceptance of products and services."
ISM-1792,Assess authenticity during product acceptance,Y,ISM-1792,"The authenticity of operating systems, applications, IT equipment, OT equipment and services are assessed as part of acceptance of products and services."
ISM-1736,Managed service register maintained,Y,ISM-1736,"A managed service register is developed, implemented, maintained and verified on a regular basis."
ISM-1737,Managed service register contains required details,Y,ISM-1737,"A managed service register contains the following for each managed service:
• managed service provider’s name
• managed service’s name
• purpose for using the managed service
• sensitivity or classification of data involved
• due date for the next security assessment of the managed service
• contractual arrangements for the managed service
• point of contact for users of the managed service
• 24/7 contact details for the managed service provider."
ISM-1793,Managed services undergo IRAP assessment every 24 months,Y,ISM-1793,"Managed service providers and their non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET managed services undergo an Infosec Registered Assessor Program (IRAP) assessment, using the latest release of the ISM available prior to the beginning of the IRAP assessment (or a subsequent release), at least every 24 months."
ISM-1971,TOP SECRET managed services assessed by ASD every 24 months,N/A,ISM-1971,"Managed service providers and their TOP SECRET managed services, including sensitive compartmented information managed services, undergo a security assessment by ASD assessors (or their delegates), using the latest release of the ISM available prior to the beginning of the security assessment (or a subsequent release), at least every 24 months."
ISM-1637,Outsourced cloud service register maintained,Y,ISM-1637,"An outsourced cloud service register is developed, implemented, maintained and verified on a regular basis."
ISM-1638,Cloud register contains required cloud service details,Y,ISM-1638,"An outsourced cloud service register contains the following for each outsourced cloud service:
• cloud service provider’s name
• cloud service’s name
• purpose for using the cloud service
• sensitivity or classification of data involved
• due date for the next security assessment of the cloud service
• contractual arrangements for the cloud service
• point of contact for users of the cloud service
• 24/7 contact details for the cloud service provider."
ISM-1529,Use private/community clouds for SECRET/TOP SECRET,N/A,ISM-1529,Only community or private clouds are used for outsourced SECRET and TOP SECRET cloud services.
ISM-1570,Cloud service providers and their services undergo IRAP assessment every 24 months,Y,ISM-1570,"Outsourced cloud service providers and their non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET cloud services undergo an IRAP assessment, using the latest release of the ISM available prior to the beginning of the IRAP assessment (or a subsequent release), at least every 24 months."
ISM-1972,TOP SECRET cloud services assessed by ASD every 24 months,N/A,ISM-1972,"Outsourced cloud service providers and their TOP SECRET cloud services, including sensitive compartmented information cloud services, undergo a security assessment by ASD assessors (or their delegates), using the latest release of the ISM available prior to the beginning of the security assessment (or a subsequent release), at least every 24 months."
ISM-1395,Service providers protect entrusted data,N/A,ISM-1395,"Service providers, including any subcontractors, provide an appropriate level of protection for any data entrusted to them or their services."
ISM-0072,Security requirements documented in contracts with providers,Y,ISM-0072,"Security requirements associated with the confidentiality, integrity and availability of data are documented in contractual arrangements with service providers and reviewed on a regular and ongoing basis to ensure they remain fit for purpose."
ISM-1571,Right to verify compliance documented in contracts,Y,ISM-1571,The right to verify compliance with security requirements is documented in contractual arrangements with service providers.
ISM-1738,Right to verify compliance exercised regularly,Not Assessed,ISM-1738,The right to verify compliance with security requirements documented in contractual arrangements with service providers is exercised on a regular and ongoing basis.
ISM-1804,Break clauses for security failures in contracts,Not Assessed,ISM-1804,Break clauses associated with failure to meet security requirements are documented in contractual arrangements with service providers.
ISM-0141,Providers must report incidents to designated contact,Not Assessed,ISM-0141,The requirement for service providers to report cyber security incidents to a designated point of contact as soon as possible after they occur or are discovered is documented in contractual arrangements with service providers.
ISM-1794,One-month notification period for provider changes,Not Assessed,ISM-1794,A minimum notification period of one month by service providers for significant changes to their own service provider arrangements is documented in contractual arrangements with service providers.
ISM-1451,Data types and ownership documented in contracts,Not Assessed,ISM-1451,Types of data and its ownership is documented in contractual arrangements with service providers.
ISM-1572,Regions/availability zones and change notification documented,Not Assessed,ISM-1572,"The regions or availability zones where data will be processed, stored and communicated, as well as a minimum notification period for any configuration changes, is documented in contractual arrangements with service providers."
ISM-1573,Access to logs documented in contracts,Not Assessed,ISM-1573,Access to all logs relating to an organisation’s data and services is documented in contractual arrangements with service providers.
ISM-1574,Portable storage and backup/migration documented in contracts,Not Assessed,ISM-1574,"The storage of data in a portable manner that allows for backups, service migration and service decommissioning without any loss of data is documented in contractual arrangements with service providers."
ISM-1575,One-month notification for service cessation documented,Not Assessed,ISM-1575,A minimum notification period of one month for the cessation of any services by a service provider is documented in contractual arrangements with service providers.
ISM-1073,Service providers only access systems under contract,Not Assessed,ISM-1073,An organisation’s systems are not accessed or administered by a service provider unless a contractual arrangement exists between the organisation and the service provider to do so.
ISM-1576,Immediate notification for unauthorised provider access,Not Assessed,ISM-1576,"If an organisation’s systems are accessed or administered by a service provider in an unauthorised manner, the organisation is immediately notified."
ISM-0039,Cyber security strategy maintained,Not Assessed,ISM-0039,"A cyber security strategy is developed, implemented and maintained."
ISM-0047,CISO approves organisation-level cyber docs; AO approves system docs,Not Assessed,ISM-0047,Organisational-level cyber security documentation is approved by the chief information security officer while system-specific cyber security documentation is approved by the system’s authorising officer.
ISM-1739,System security architecture approved pre-development,Not Assessed,ISM-1739,A system’s security architecture is approved prior to the development of the system.
ISM-0888,Cyber documentation reviewed at least annually,Not Assessed,ISM-0888,Cyber security documentation is reviewed at least annually and includes a ‘current as at [date]’ or equivalent statement.
ISM-1602,Cyber docs and change notifications communicated to stakeholders,Not Assessed,ISM-1602,"Cyber security documentation, including notification of subsequent changes, is communicated to all stakeholders."
ISM-0041,System security plan includes overview and control annex,Not Assessed,ISM-0041,"Systems have a system security plan that includes an overview of the system (covering the system’s purpose, the system boundary and how the system is managed) as well as an annex that covers applicable controls from this document and any additional controls that have been identified and implemented."
ISM-0043,System cyber incident response plan contains required elements,Not Assessed,ISM-0043,"Systems have a cyber security incident response plan that covers the following:
• guidelines on what constitutes a cyber security incident
• the types of cyber security incidents likely to be encountered and the expected response to each type
• how to report cyber security incidents, internally to an organisation and externally to relevant authorities
• other parties which need to be informed in the event of a cyber security incident
• the authority, or authorities, responsible for investigating and responding to cyber security incidents
• the criteria by which an investigation of a cyber security incident would be requested from a law enforcement agency, the Australian Signals Directorate or other relevant authority
• the steps necessary to ensure the integrity of evidence relating to a cyber security incident
• system contingency measures or a reference to such details if they are located in a separate document."
ISM-0912,Change & configuration management plan contains required elements,Not Assessed,ISM-0912,"Systems have a change and configuration management plan that includes:
• the establishment and maintenance of authorised baseline configurations for systems
• what constitutes routine and urgent changes to the configuration of systems
• how changes to the configuration of systems will be requested, tracked and documented
• who needs to be consulted prior to routine and urgent changes to the configuration of systems
• who needs to approve routine and urgent changes to the configuration of systems
• who needs to be notified of routine and urgent changes to the configuration of systems
• what additional change management and configuration management processes and procedures need to be followed before, during and after routine and urgent changes to the configuration of systems."
ISM-1163,Continuous monitoring plan with scanning and testing requirements,Not Assessed,ISM-1163,"Systems have a continuous monitoring plan that includes:
• conducting vulnerability scans for systems at least fortnightly
• conducting vulnerability assessments and penetration tests for systems prior to deployment, including prior to deployment of significant changes, and at least annually thereafter
• analysing identified vulnerabilities to determine their potential impact
• implementing mitigations based on risk, effectiveness and cost."
ISM-1563,Security assessment report produced after assessment,Not Assessed,ISM-1563,"At the conclusion of a security assessment for a system, a security assessment report is produced by the assessor and covers:
• the scope of the security assessment
• the system’s strengths and weaknesses
• security risks associated with the operation of the system
• the effectiveness of the implementation of controls
• any recommended remediation actions."
ISM-1564,Plan of action and milestones produced after assessment,Not Assessed,ISM-1564,"At the conclusion of a security assessment for a system, a plan of action and milestones is produced by the system owner."
ISM-1973,Non-classified systems secured in suitable facilities,Not Assessed,ISM-1973,Non-classified systems are secured in suitably secure facilities.
ISM-0810,Classified systems secured in suitable security-zone facilities,Not Assessed,ISM-0810,Classified systems are secured in facilities that meet the requirements for a security zone suitable for their classification.
ISM-1974,Non-classified servers and cryptographic equipment in secure rooms,Not Assessed,ISM-1974,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure server rooms or communications rooms."
ISM-1053,Classified servers in rooms meeting classification zone requirements,Not Assessed,ISM-1053,"Classified servers, network devices and cryptographic equipment are secured in server rooms or communications rooms that meet the requirements for a security zone suitable for their classification."
ISM-1975,Non-classified equipment secured in containers,Not Assessed,ISM-1975,"Non-classified servers, network devices and cryptographic equipment are secured in suitably secure security containers."
ISM-1530,Classified equipment secured in suitable containers,Not Assessed,ISM-1530,"Classified servers, network devices and cryptographic equipment are secured in security containers suitable for their classification taking into account the combination of security zones they reside in."
ISM-0813,Server/communications rooms not left unsecured,Not Assessed,ISM-0813,"Server rooms, communications rooms and security containers are not left in unsecured states."
ISM-1074,Keys to secure rooms appropriately controlled,Not Assessed,ISM-1074,"Keys or equivalent access mechanisms to server rooms, communications rooms and security containers are appropriately controlled."
ISM-1296,Physical security protects network devices in public areas,Not Assessed,ISM-1296,Physical security is implemented to protect network devices in public areas from physical damage or unauthorised access.
ISM-1543,Authorised RF/IR device register for SECRET/TOP SECRET maintained,Not Assessed,ISM-1543,"An authorised RF and IR device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-0225,Unauthorised RF/IR devices banned in SECRET/TOP SECRET areas,Not Assessed,ISM-0225,Unauthorised RF and IR devices are not brought into SECRET and TOP SECRET areas.
ISM-0829,Detect/respond to unauthorised RF devices in SECRET/TOP SECRET areas,Not Assessed,ISM-0829,Security measures are used to detect and respond to unauthorised RF devices in SECRET and TOP SECRET areas.
ISM-2069,Authorised photo/video device register maintained,Not Assessed,ISM-2069,"An authorised photographic and video recording device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-2070,Unauthorised photo/video devices banned in SECRET/TOP SECRET areas,Not Assessed,ISM-2070,Unauthorised photographic and video recording devices are not brought into SECRET and TOP SECRET areas.
ISM-2007,Authorised medical device register maintained,Not Assessed,ISM-2007,"An authorised medical device register for SECRET and TOP SECRET areas is developed, implemented, maintained and verified on a regular basis."
ISM-2008,Criteria for authorised medical devices in secure areas,Not Assessed,ISM-2008,"Medical devices that are authorised to be brought into SECRET and TOP SECRET areas meet, at a minimum, the following criteria:
• are listed on the Australian Register of Therapeutic Goods
• have been prescribed by a legally qualified medical practitioner
• have been commercially purchased within Australia
• do not have inbuilt cellular connectivity
• are capable of operating independently of mobile devices
• where possible, have Wi-Fi, Bluetooth and other forms of wireless connectivity disabled when operating within SECRET and TOP SECRET areas."
ISM-2009,Unauthorised medical devices banned,Not Assessed,ISM-2009,Unauthorised medical devices are not brought into SECRET and TOP SECRET areas.
ISM-0164,Prevent unauthorised observation of systems/displays,Not Assessed,ISM-0164,"Unauthorised people are prevented from observing systems, in particular workstation displays and keyboards, within facilities."
ISM-0161,Secure IT equipment and media when not in use,Not Assessed,ISM-0161,IT equipment and media are secured when not in use.
ISM-0252,Annual cyber awareness training for all personnel,N/A,ISM-0252,"Cyber security awareness training is undertaken annually by all personnel and covers:
• the purpose of the cyber security awareness training
• security appointments and contacts
• authorised use of systems and their resources
• protection of systems and their resources
• reporting of cyber security incidents and suspected compromises of systems and their resources."
ISM-1565,Annual privileged user training,Not Assessed,ISM-1565,Tailored privileged user training is undertaken annually by all privileged users.
ISM-2022,Cyber awareness training register maintained,Not Assessed,ISM-2022,"A cyber security awareness training register is developed, implemented and maintained."
ISM-1740,Banking/payment staff trained on business email compromise,Not Assessed,ISM-1740,"Personnel dealing with banking details and payment requests are advised of what business email compromise is, how to manage such situations and how to report it."
ISM-2071,User-account staff trained on social engineering,Not Assessed,ISM-2071,"Personnel dealing with user account details are advised of what social engineering attacks are, how to manage such situations and how to report them."
ISM-0817,Personnel trained to report suspicious online contact,Not Assessed,ISM-0817,Personnel are advised of what suspicious contact via online services is and how to report it.
ISM-0820,Personnel avoid posting work info to unauthorised services,Not Assessed,ISM-0820,Personnel are advised to not post work information to unauthorised online services and to report cases where such information is posted.
ISM-1146,Personnel maintain separate work and personal accounts,Not Assessed,ISM-1146,Personnel are advised to maintain separate work and personal user accounts for online services.
ISM-0821,Personnel advised on personal info posting risks,Not Assessed,ISM-0821,Personnel are advised of security risks associated with posting personal information to online services and are encouraged to use any available privacy settings to restrict who can view such information.
ISM-0824,Personnel not to send/receive files via unauthorised services,Not Assessed,ISM-0824,Personnel are advised not to send or receive files via unauthorised online services.
ISM-1864,System usage policy maintained,Not Assessed,ISM-1864,"A system usage policy is developed, implemented and maintained."
ISM-2074,AI usage policy maintained,Not Assessed,ISM-2074,"A general-purpose artificial intelligence usage policy is developed, implemented and maintained."
ISM-0258,Web usage policy maintained,Not Assessed,ISM-0258,"A web usage policy is developed, implemented and maintained."
ISM-0432,Access requirements documented in system security plan,Not Assessed,ISM-0432,Access requirements for systems and their resources are documented in their system security plan.
ISM-0434,Employment screening and clearances before granting access,Not Assessed,ISM-0434,"Personnel undergo appropriate employment screening and, where necessary, hold an appropriate security clearance before being granted access to systems and their resources."
ISM-0435,Personnel briefed before access granted,Not Assessed,ISM-0435,Personnel receive any necessary briefings before being granted access to systems and their resources.
ISM-1865,Personnel agree to system usage policies before access,Not Assessed,ISM-1865,Personnel agree to abide by system usage policies before being granted access to systems and their resources.
ISM-0414,Personnel are uniquely identifiable for access,Not Assessed,ISM-0414,Personnel granted access to systems and their resources are uniquely identifiable.
ISM-0415,Shared accounts strictly controlled and identifiable,Not Assessed,ISM-0415,"The use of shared user accounts is strictly controlled, and personnel using such accounts are uniquely identifiable."
ISM-1583,Contractor personnel identified as such,Not Assessed,ISM-1583,Personnel who are contractors are identified as such.
ISM-0420,Foreign nationals identified for certain sensitive data access,Not Assessed,ISM-0420,"Where systems process, store or communicate AUSTEO, AGAO or REL data, personnel who are foreign nationals are identified as such, including by their specific nationality."
ISM-0405,Validate unprivileged access requests initially,Not Assessed,ISM-0405,Requests for unprivileged access to systems and their resources are validated when first requested.
ISM-1852,Limit unprivileged access to required duties,Not Assessed,ISM-1852,Unprivileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.
ISM-1566,Centrally log unprivileged access use,Not Assessed,ISM-1566,Use of unprivileged access is centrally logged.
ISM-0409,Foreign nationals restricted from AUSTEO/REL systems without controls,Not Assessed,ISM-0409,"Foreign nationals, including seconded foreign nationals, do not have access to systems that process, store or communicate AUSTEO or REL data unless effective controls are in place to ensure such data is not accessible to them."
ISM-0411,Foreign nationals restricted from AGAO systems without controls,Not Assessed,ISM-0411,"Foreign nationals, excluding seconded foreign nationals, do not have access to systems that process, store or communicate AGAO data unless effective controls are in place to ensure such data is not accessible to them."
ISM-1507,Validate privileged access requests initially,Not Assessed,ISM-1507,Requests for privileged access to systems and their resources are validated when first requested.
ISM-1508,Limit privileged access to required duties,Not Assessed,ISM-1508,Privileged access to systems and their resources is limited to only what is required for users and services to undertake their duties.
ISM-1175,Privileged accounts prevented from internet/email unless authorised,Not Assessed,ISM-1175,"Privileged user accounts (excluding those explicitly authorised to access online services) are prevented from accessing the internet, email and web services."
ISM-1883,Privileged accounts with internet access strictly limited,Not Assessed,ISM-1883,Privileged user accounts explicitly authorised to access online services are strictly limited to only what is required for users and services to undertake their duties.
ISM-1649,Use just-in-time administration for system administration,Not Assessed,ISM-1649,Just-in-time administration is used for the administration of systems and their resources.
ISM-0445,Privileged users assigned dedicated privileged accounts,Not Assessed,ISM-0445,Privileged users are assigned a dedicated privileged user account to be used solely for duties requiring privileged access.
ISM-1263,Unique privileged accounts for server app administration,Not Assessed,ISM-1263,Unique privileged user accounts are used for administering individual server applications.
ISM-1509,Privileged access events centrally logged,Not Assessed,ISM-1509,Privileged access events are centrally logged.
ISM-1650,Privileged account/group management events logged,Not Assessed,ISM-1650,Privileged user account and security group management events are centrally logged.
