ISM Controls,,,,,,,,,,,,,,,Scoping Considerations,,,Provider Responsibilities,,,Consumer Responsibilities,,,
Guideline,Section,Topic,Identifier,Revision,Updated,NC,OS,P,S,TS,ML1,ML2,ML3,Description,"Administration
Environment","Cloud Production -
Common Controls ","Cloud Production -
Service Specific","Provider
Responsibility","Implementation
Status","Implementation
Comments","Consumer
Responsibility","Consumer Implementation
Required","Consumer Configuration
Required","Consumer
Guidance"
Guidelines for cyber security roles,Chief information security officer,Receiving and managing a dedicated cyber security budget,ISM-0732,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO receives and manages a dedicated cyber security budget for their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing cyber security personnel,ISM-0717,2,Oct-20,Yes,Yes,Yes,Yes,Yes,No,No,No,The CISO oversees the management of cyber security personnel within their organisation.,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing cyber security personnel,ISM-2020,1,Dec-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO ensures sufficient cyber security personnel, with the right skills and experience, are acquired to support cyber security activities within their organisation.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,Chief information security officer,Overseeing cyber security awareness training,ISM-0735,3,Dec-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"The CISO oversees the development, implementation and maintenance of their organisation’s cyber security awareness training program.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to the governance of the CSP,Not applicable as it relates to the governance of the CSP and should be captured by the common controls,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,System ownership and oversight,ISM-1071,1,Sep-18,Yes,Yes,Yes,Yes,Yes,No,No,No,Each system has a designated system owner.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,System ownership and oversight,ISM-1525,1,Jan-21,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners register each system with its authorising officer.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1633,1,Mar-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners, in consultation with each system’s authorising officer, determine the system boundary, business criticality and security objectives for each system based on an assessment of the impact if it were to be compromised.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1203,1,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners, in consultation with each system’s authorising officer, conduct a threat and risk assessment for each system.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1634,2,Mar-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners, in consultation with each system’s authorising officer, select controls for each system and tailor them to achieve desired security objectives.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-0009,4,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners, in consultation with each system’s authorising officer, identify any supplementary controls required based upon the unique nature of each system, its operating environment and the organisation’s risk tolerances.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1635,2,Jun-22,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners implement controls for each system and its operating environment.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1636,3,Mar-25,Yes,Yes,Yes,Yes,No,No,No,No,"System owners, in consultation with each system’s authorising officer, ensure controls for each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system and its operating environment undergo a security assessment by their organisation’s own assessors or Infosec Registered Assessor Program (IRAP) assessors to determine if they have been implemented correctly and are operating as intended.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1967,1,Mar-25,No,No,No,No,Yes,No,No,No,"System owners, in consultation with each system’s authorising officer, ensure controls for each TOP SECRET system and its operating environment, including each sensitive compartmented information system and its operating environment, undergo a security assessment by ASD assessors (or their delegates) to determine if they have been implemented correctly and are operating as intended.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-0027,5,Dec-24,Yes,Yes,Yes,Yes,No,No,No,No,"System owners obtain authorisation to operate each non-classified, OFFICIAL: Sensitive, PROTECTED and SECRET system from its authorising officer based on the acceptance of the security risks associated with its operation.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1968,0,Dec-24,No,No,No,No,Yes,No,No,No,"System owners obtain authorisation to operate each TOP SECRET system, including each sensitive compartmented information system, from Director-General ASD (or their delegate) based on the acceptance of the security risks associated with its operation.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-1526,2,Jun-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"System owners monitor each system, and associated cyber threats, security risks and controls, on an ongoing basis.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Protecting systems and their resources,ISM-2021,0,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners implement and maintain data minimisation practices for each of their systems.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security roles,System owners,Annual reporting of system security status,ISM-1587,0,Aug-20,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners report the security status of each system to its authorising officer at least annually.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Cyber security incident management policy,ISM-0576,10,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident management policy, and associated cyber security incident response plan, is developed, implemented and maintained.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Cyber security incident management policy,ISM-1784,1,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"The cyber security incident management policy, including the associated cyber security incident response plan, is exercised at least annually.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Cyber security incident register,ISM-0125,6,Dec-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident register is developed, implemented and maintained.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Cyber security incident register,ISM-1803,0,Dec-22,Yes,Yes,Yes,Yes,Yes,No,No,No,"A cyber security incident register contains the following for each cyber security incident:
• the date the cyber security incident occurred
• the date the cyber security incident was discovered
• a description of the cyber security incident
• any actions taken in response to the cyber security incident
• to whom the cyber security incident was reported.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Insider threat mitigation program,ISM-1625,2,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"An insider threat mitigation program is developed, implemented and maintained.",Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Insider threat mitigation program,ISM-1626,1,Jun-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Legal advice is sought regarding the development and implementation of an insider threat mitigation program.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Access to sufficient data sources and tools,ISM-0120,5,May-20,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security personnel have access to sufficient data sources and tools to ensure that systems can be monitored for key indicators of compromise.,Applicable if different to the governance of the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Reporting cyber security incidents,ISM-0123,4,Jun-23,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Cyber security incidents are reported to the chief information security officer, or one of their delegates, as soon as possible after they occur or are discovered.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Reporting cyber security incidents to ASD,ISM-0140,8,Sep-23,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Cyber security incidents are reported to ASD as soon as possible after they occur or are discovered.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Reporting cyber security incidents to customers and the public,ISM-1880,0,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security incidents that involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Managing cyber security incidents,Reporting cyber security incidents to customers and the public,ISM-1881,0,Dec-23,Yes,Yes,Yes,Yes,Yes,No,No,No,Cyber security incidents that do not involve customer data are reported to customers and the public in a timely manner after they occur or are discovered.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Enacting cyber security incident response plans,ISM-1819,2,Dec-23,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Following the identification of a cyber security incident, the cyber security incident response plan is enacted.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing data spills,ISM-0133,2,Jun-21,Yes,Yes,Yes,Yes,Yes,No,No,No,"When a data spill occurs, data owners are advised and access to the data is restricted.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing malicious code infections,ISM-0917,8,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"When malicious code is detected, the following steps are taken to handle the infection:
• the infected systems are isolated
• all previously connected media used in the period leading up to the infection are scanned for signs of infection and isolated if necessary
• antivirus applications are used to remove the infection from infected systems and media
• if the infection cannot be reliably removed, systems are restored from a known good backup or rebuilt.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing malicious code infections,ISM-1969,0,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,"Malicious code, when stored or communicated, is treated beforehand to prevent accidental execution.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing malicious code infections,ISM-1970,0,Dec-24,Yes,Yes,Yes,Yes,Yes,No,No,No,Malicious code processed for cyber security incident response or research purposes is done so in a dedicated analysis environment that is segregated from other systems.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-0137,4,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,Legal advice is sought before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1609,2,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,System owners are consulted before allowing intrusion activity to continue on a system for the purpose of collecting further data or evidence.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1731,0,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,Planning and coordination of intrusion remediation activities are conducted on a separate system to that which has been compromised.,Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1732,0,Dec-21,Yes,Yes,Yes,Yes,Yes,No,No,No,"To the extent possible, all intrusion remediation activities are conducted in a coordinated manner during the same planned outage.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Handling and containing intrusions,ISM-1213,3,Sep-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"Following intrusion remediation activities, full network traffic is captured for at least seven days and analysed to determine whether malicious actors have been successfully removed from the system.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for cyber security incidents,Responding to cyber security incidents,Maintaining the integrity of evidence,ISM-0138,5,Mar-23,Yes,Yes,Yes,Yes,Yes,No,No,No,"The integrity of evidence gathered during an investigation is maintained by investigators:
• recording all of their actions
• maintaining a proper chain of custody
• following all instructions provided by relevant law enforcement agencies.",Applicable if different to the management of cyber security incidents in the common cloud production environment,Applicable to the governance of the CSP,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
Guidelines for procurement and outsourcing,Cyber supply chain risk management,Cyber supply chain risk management activities,ISM-1631,4,Jun-25,Yes,Yes,Yes,Yes,Yes,No,No,No,"Suppliers of operating systems, applications, IT equipment, OT equipment and services associated with systems are identified.",Not applicable as it relates to the governance of the CSP and should be captured by the common controls,Applicable to contractual arrangements between the CSP and their customers as well as the CSP and their outsourced third-party providers,Applicable if different per system or service,,Not Assessed,,,Not Assessed,Not Assessed,
